User Index,Persona,Variant,Status,AI Interaction Style,AI Predicted Conversion %,AI Session Duration,AI Search Terms,AI Decision Factors,Final URL,Timestamp,Error
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:23:33.320Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:23:33.985Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:23:37.993Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:26:55.186Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:26:57.013Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:27:02.413Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:27:47.120Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T11:27:47.513Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:52:21.284Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:52:35.116Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:52:48.675Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:56:59.606Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:57:13.192Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:57:29.713Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T12:59:45.765Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T13:00:26.536Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T13:00:57.493Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T13:45:20.830Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T13:56:50.353Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T13:57:02.631Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-13T13:57:18.083Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-21T13:10:23.256Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-21T13:10:32.348Z",""
"","fast","control","","","","","","","https://sodasupply.vercel.app/products","2025-08-21T13:10:41.547Z",""
